Series Name,Series Code,Country Name,Country Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Afghanistan,AFG,153000000,287000000,561000000,1046000000,2152000000,1871000000,1411000000,..,..,..,..,..,..,..,..,..,..,34000000,..,..,35000000,3000000,41000000,150000000,344000000,377000000,661000000,523000000,235000000,288000000,116000000,174000000,252000000,349000000,382000000,227000000,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,26000000,..,..,..,..,..,..,..,2000000,..,7000000,..,5000000,..,..,..,..,15000000,7000000,7000000,7000000,..,4000000,2000000,5000000,..,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Algeria,DZA,368000000,146000000,369000000,320000000,455000000,734000000,1035000000,20000000,20000000,182000000,296000000,83000000,37000000,98000000,370000000,403000000,540000000,248000000,195000000,242000000,159000000,340000000,507000000,1517000000,1070000000,835000000,1125000000,661000000,362000000,620000000,898000000,2903000000,1128000000,1284000000,164000000,549000000,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Angola,AGO,528000000,703000000,1187000000,965000000,152000000,141000000,..,..,122000000,111000000,1000000,44000000,7000000,150000000,358000000,147000000,156000000,148000000,48000000,8000000,39000000,7000000,31000000,29000000,20000000,..,..,..,30000000,2000000,47000000,152000000,110000000,272000000,169000000,42000000,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Argentina,ARG,447000000,226000000,226000000,74000000,14000000,169000000,..,27000000,..,209000000,43000000,28000000,105000000,171000000,275000000,213000000,6000000,14000000,11000000,169000000,3000000,9000000,24000000,23000000,11000000,11000000,15000000,3000000,12000000,7000000,21000000,17000000,47000000,21000000,48000000,7000000,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Armenia,ARM,..,..,..,..,..,..,..,..,2000000,181000000,47000000,70000000,..,..,2000000,..,..,..,..,118000000,..,..,1000000,..,46000000,52000000,5000000,..,16000000,..,..,110000000,18000000,..,248000000,..,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Australia,AUS,509000000,815000000,593000000,744000000,694000000,355000000,216000000,364000000,448000000,262000000,64000000,597000000,35000000,542000000,673000000,338000000,1236000000,663000000,801000000,472000000,461000000,728000000,679000000,444000000,778000000,1513000000,1557000000,867000000,245000000,906000000,1464000000,1026000000,1653000000,1557000000,1184000000,1658000000,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Austria,AUT,29000000,19000000,7000000,117000000,84000000,5000000,6000000,5000000,9000000,40000000,24000000,10000000,182000000,228000000,48000000,25000000,15000000,83000000,43000000,57000000,25000000,4000000,269000000,190000000,286000000,7000000,8000000,8000000,6000000,2000000,1000000,13000000,8000000,5000000,15000000,13000000,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Azerbaijan,AZE,..,..,..,..,..,..,..,..,50000000,25000000,..,..,..,..,..,3000000,..,89000000,..,4000000,53000000,159000000,213000000,33000000,145000000,155000000,557000000,371000000,385000000,624000000,335000000,274000000,290000000,365000000,44000000,29000000,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,"Bahamas, The",BHS,..,33000000,..,..,..,2000000,3000000,..,..,..,..,..,..,..,..,33000000,..,..,..,..,3000000,..,..,..,1000000,..,..,..,..,30000000,16000000,20000000,12000000,..,..,..,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Bahrain,BHR,55000000,134000000,250000000,137000000,71000000,362000000,68000000,42000000,1000000,8000000,71000000,51000000,198000000,8000000,..,299000000,28000000,54000000,1000000,10000000,66000000,63000000,27000000,21000000,..,103000000,1000000,26000000,72000000,1000000,17000000,26000000,29000000,65000000,15000000,15000000,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Bangladesh,BGD,63000000,4000000,1000000,242000000,301000000,187000000,79000000,113000000,44000000,61000000,119000000,7000000,27000000,1000000,186000000,203000000,281000000,33000000,8000000,32000000,10000000,221000000,88000000,12000000,..,36000000,117000000,184000000,649000000,203000000,633000000,444000000,325000000,151000000,754000000,46000000,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10000000,10000000,10000000,..,..,..,..,..,..,..,..,..,..,..,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,41000000,41000000,..,..,..,..,..,6000000,140000000,..,..,3000000,..,75000000,75000000,75000000,66000000,96000000,115000000,147000000,142000000,331000000,13000000,..
