Series Name,Series Code,Country Name,Country Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,979344507.8,2023034713.1,2143951791.1,2480214113.7,2435844906,2485331046.1,2580623924.1,2587774666.5,2529865267.8,2596917266.2,2596050086.4,2751986638.9,2678760424.2,2661685956.5,3040072312.4,3530754339.6
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Albania,ALB,..,..,..,..,..,..,511485756.3,632621789.2,786033591.2,883115193.8,458862737.5,491994448.6,516476961.3,623592791.8,773092900.6,1122051223.3,1154309753.2,1180426821.7,1550382967.9,1603744698.8,2126166749.1,2517100832.6,2966604307.7,4256899002.8,4605163641.8,5436572731.8,6484194296.1,7384475899.5,8647046116.3,8512452310,8447046910.5,8516222980.3,9801454504.1,9651086366.7,9274545228.5,10477366100.7,11086175521.5
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Algeria,DZA,18260741782.4,22649736536.7,24448828591.3,26101327226.2,27248503765.9,28153911739.3,28489965549.1,27351247767.3,26274665108.1,30239373924.7,33048876968.7,33651326322.4,30896804008.7,30686949509,28203525381.3,25461612754.1,22747999963,23038017583.3,23769718848.8,22415754059.3,17082006705.4,5899284213,6130383257.9,6240543720.9,7414292616.4,7252969908.9,6053727067.1,5515694091.7,5245606715.5,5521188948.6,4671396332.7,5463001796.7,5706818288.8,5710491550,5492379098.5,5177878073.5,7378781411.7
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Angola,AGO,..,..,..,..,7288778066.3,8591895991.1,9000344458.8,10059207810.7,10571384637.8,11292755787.9,11502043062.1,10545818707.6,9948274153,10784076259.7,10673241870.4,9763465564.4,8776917205,9119036718.7,9114598189.4,9801188917.7,12238371900.2,9905180985.8,11941803690.9,15596027678.7,20277281252.9,26795572704.5,34679553283.4,37165323895.3,44350760779.1,46928671425.5,49780775994.6,58447229857.2,59758478491.3,63802091511.5,64776005719.8,67529244765.7,67277107137.9
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Argentina,ARG,51156733946,52688148843.8,58722673496.6,59015245403.5,65538413075.1,62477601311.9,65672366930.1,68605638952.4,64681387080.3,75094061335.7,98773122012.7,111145506414,128251441841.7,141504501057.7,151913800711.3,150062928187.3,152649929432.5,148320192549.3,163442688409.3,167999635827.3,130788488210.2,118921233033.8,120818039247.5,129752184881.3,133695121247.7,126642436908.2,142884643038.3,139877658066.6,150225027402.1,153793761987.6,177184603465.6,181638508190.7,225925335186.1,277827089406.2,280684783388,255558142878.8,246306711414
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Armenia,ARM,..,..,..,..,..,..,..,..,133922025.2,214328549.4,370656928,520544050.4,638485619.5,804242112.9,1022596079.8,1018418173.9,1410424531.1,1719549290.3,1996130970.2,2107914571.2,1969824792.5,2138883502.7,3081934925.4,3612490093,4934959249.6,6307170668.6,7410792665.3,7640566516.3,8681090391.3,8555656187,8831021220.8,9855623087.1,10228295738.5,10725730268.9,11884488146.3,12599980395.5,13818477363.2
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
