Series Name,Series Code,Country Name,Country Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.02495846430441,0.710719563574439,0.440392700723078,0.382005712101864,0.502551364296606,0.449303643130256,0.610294177638057,0.417277439783824,0.612644869553199,0.877758007315028,0.706844302093614,0.558013470595918,0.544465179629164,0.514492082955642,0.627717584970134,0.719338940458301,0.891281199402031,0.692528088004276,0.653621702792632,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Albania,ALB,16.5086294761763,7.69848515630625,10.6999595878696,11.0903930804227,13.5635069352505,11.0354554532142,10.4851049670223,11.464004168943,3.01155255987675,1.62318190732086,1.29507572530594,1.25155204538187,1.35518894965962,0.320719342391058,0.531109875243902,1.09800142159309,0.75603268323358,0.760866014544969,0.733223813051952,0.770895916899024,1.01851273263872,1.32188534011785,1.7611076189499,1.11008336223656,0.606046435722637,1.57451986305938,3.1789137654955,3.37723180721018,2.94742328506208,3.07589474829461,1.62184909615697,1.33314397099504,1.43578597762629,1.86823588394589,1.77966521665406,1.25377173185565,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Algeria,DZA,15.6409116872177,7.85372544742764,9.80390404327674,9.11365600574233,13.9767615952413,17.7029427580743,15.0741487676125,15.1634382386652,13.7564231914883,14.2572507848174,16.1611176893427,19.0112304294673,17.9715822478959,11.6950153905595,15.6617241169602,24.4009388231908,21.8624483708083,21.8752767483142,23.4391787878803,25.0648439681977,32.490866122633,34.4082348497795,32.4119643944866,34.2389621977135,24.5561266497807,26.2551017384469,31.0480644644074,29.9855734563665,27.7341935761814,24.1267274230654,15.8771470438373,11.9977735940793,14.2882910784005,18.4817244457533,16.3420445424459,11.92571914195,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Andorra,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Angola,AGO,15.193133527619,7.48478933995147,17.302925324168,15.6780500088106,23.248703053726,28.9385761970058,..,..,..,51.6944467877655,42.2228681816132,45.9990809509508,39.2644929844579,18.3781003662254,40.0305505458615,55.4763565868181,38.5162974696533,27.6698307018392,24.1056895826877,40.1819667731034,45.8097225779326,43.4787169460548,46.2764616034126,55.8747947565139,30.8048903827259,40.1868423825762,41.0931732666277,36.288877976934,30.8504654159641,23.7586260592338,10.8292890562817,10.8922202726371,16.436781826354,27.5331192785728,26.13835473684,25.5179628326171,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Argentina,ARG,3.4404689977266,1.30218612187186,1.88015792452675,1.54390075953283,3.63741145638363,2.59312585280146,1.18523718146537,1.16431234549896,1.16636673088957,1.05149071935349,1.27129062406676,1.63105608399105,1.44012592917314,0.821633521572885,1.36101789938524,2.28470069475626,1.92453004289424,5.81533741054247,5.11833945547396,4.95048349859177,5.75121620027831,6.11775266236952,4.96376290598617,5.00758015026195,3.03424095605109,3.3233580463399,3.71554751491933,3.41336111841849,3.01544202009906,2.74526885141793,1.08743567210003,0.936269075921548,1.12360659021161,2.1012769363927,2.19160282132649,1.8285686630972,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Armenia,ARM,..,..,..,..,..,0,0,0.265019424892588,0.269481560015953,0.464298169560161,0.587001273477434,0.315447039920381,0.32582477689422,0.114669585279636,0.177492136331969,0.293454324712569,0.299938081961134,0.591149484718715,0.0332345972024692,0.0217229048853793,0.0102313628348326,0.0158025574330559,0.00929597821387474,0.213475225212698,0.374259981257674,2.65466288047989,2.92345816368101,1.49013408940348,1.09715390179819,0.306948916870014,0.760031512472534,0.221817707840072,0.245814089354522,1.09329824684405,2.20118869582475,2.48328139508655,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Aruba,ABW,..,0.000878296605410675,0.000734403892355818,0.000575271854100482,0.000491427131417883,0.00155209457207621,0.0016337333506629,0.00137948182569185,0.000925462733341636,0.000937353199073776,0.00116676045620415,0.000819358991065385,0.00100243912517378,0.000848486758287866,0.000717946084644347,0.000703181870217004,0.000712137437362349,0.000657229262514586,0.000699970185109785,0.000685497461216565,0.000653399781738063,0.000940949465840094,0.000918692037728531,0.000949223427263557,0.000967668246167683,0.00236128359145529,0.0019480556684067,0.00197258928180296,0.00223610685990329,0.00323541770715472,0.00238783952282852,0.00334392389804081,0.00282695847055913,0.00187491277347098,..,..,..
