Series Name,Series Code,Country Name,Country Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.49000000953674,..,..,..,1.69000005722046,..,7.90999984741211,..,..,11.1800003051758,..,..,11.710000038147,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Albania,ALB,6.69999980926514,6.40000009536743,6.09999990463257,7,7.30000019073486,9.5,9.10000038146973,26.5,22.2999992370605,18.3999996185303,12.8999996185303,12.3000001907349,14.8999996185303,17.7000007629395,18.3999996185303,16.7999992370605,16.3999996185303,4.6100001335144,15,14.3999996185303,6.57000017166138,13.8000001907349,15.9700002670288,13.0600004196167,13.6700000762939,14.0900001525879,13.4799995422363,13.3800001144409,15.8699998855591,18.0499992370605,17.1900005340576,15.4200000762939,13.6199998855591,12.3000001907349,11.4700002670288,11.6899995803833,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Algeria,DZA,..,..,..,..,17.6399993896484,21.2600002288818,20.6000003814697,24.3799991607666,26.2299995422363,27.7399997711182,31.8400001525879,..,25.4300003051758,..,..,29.7700004577637,27.2999992370605,25.8999996185303,23.7199993133545,17.6499996185303,15.2700004577637,12.2700004577637,13.789999961853,11.3299999237061,10.1599998474121,9.96000003814697,9.96000003814697,10.9700002670288,9.81999969482422,10.210000038147,11.210000038147,10.1999998092651,12,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,American Samoa,ASM,13.289999961853,13.3800001144409,..,..,..,5.1100001335144,..,..,..,..,..,..,..,..,..,5.05000019073486,..,..,..,..,9.97999954223633,..,..,..,..,9.19999980926514,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Angola,AGO,14.8999996185303,18.8999996185303,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.6399993896484,..,..,..,..,3.77999997138977,9.43000030517578,7.3600001335144,..,..,9.57999992370605,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,6,..,..,..,..,..,..,..,..,..,8.42000007629395,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Argentina,ARG,5.30000019073486,4.40000009536743,5.30000019073486,6,7.30000019073486,7.05999994277954,5.44000005722046,6.3600001335144,10.1000003814697,11.7600002288818,18.7999992370605,17.1100006103516,14.8199996948242,12.6499996185303,14.0500001907349,15,17.3199996948242,19.5900001525879,15.3599996566772,13.5200004577637,11.5100002288818,10.0799999237061,8.47000026702881,7.84000015258789,8.64999961853027,7.71000003814697,7.17999982833862,7.21999979019165,7.09999990463257,7.26999998092651,..,..,8.35000038146973,9.22000026702881,9.84000015258789,11.460000038147,8.73999977111816
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Armenia,ARM,..,..,..,..,..,..,..,1.79999995231628,5.30000019073486,6.59999990463257,6.69999980926514,9.30000019073486,10.8000001907349,9.39999961853027,11.1999998092651,..,..,..,..,..,..,..,9.8100004196167,22.9699993133545,18.4400005340576,19.0100002288818,18.4400005340576,17.2999992370605,16.1800003051758,17.5,18.2600002288818,17.6200008392334,17.7000007629395,13.210000038147,12.1999998092651,12.1800003051758,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Aruba,ABW,..,..,..,..,..,..,6.07999992370605,..,..,6.44999980926514,..,..,7.44999980926514,..,..,6.92000007629395,6.90000009536743,..,..,..,..,..,5.71000003814697,..,..,10.6000003814697,8.89999961853027,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Australia,AUS,8.26000022888184,8.07999992370605,8.10999965667725,7.23000001907349,6.17999982833862,6.92999982833862,9.57999992370605,10.7299995422363,10.8699998855591,9.72000026702881,8.47000026702881,8.51000022888184,8.35999965667725,7.67999982833862,6.86999988555908,6.28000020980835,6.73999977111816,6.36999988555908,5.92999982833862,5.3899998664856,5.03000020980835,4.78000020980835,4.38000011444092,4.23000001907349,5.55999994277954,5.21000003814697,5.07999992370605,5.21999979019165,5.65999984741211,6.07999992370605,6.05000019073486,5.71000003814697,5.59000015258789,5.30000019073486,5.15999984741211,6.46000003814697,5.11999988555908
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Austria,AUT,3.59999990463257,3.11999988555908,3.78999996185303,3.54999995231628,3.14000010490417,3.25,3.42000007629395,3.58999991416931,4.25,3.53999996185303,4.34000015258789,5.28000020980835,5.15000009536743,5.48000001907349,4.69999980926514,4.69000005722046,4.01000022888184,4.84999990463257,4.78000020980835,5.96999979019165,5.67999982833862,5.32000017166138,4.90999984741211,4.19999980926514,5.36999988555908,4.88000011444092,4.6399998664856,4.90999984741211,5.36999988555908,5.67000007629395,5.80000019073486,6.05999994277954,5.55999994277954,4.92999982833862,4.55999994277954,5.19999980926514,6.46000003814697
