,conflict_id,year,location,conflict_issue,intensity_level,type_of_conflict,battle_related_deaths,ext_debt_stocks,inflation_rate,unemployment_rate,mortality_by_1000,resources_rent_procent_of_GDP,military_expenditure_procent_of_GDP,arms_imports,democracy_index,corruption_index,GPD_per_capita,fertility_rate,energy_access_procent_of_population,population,unseat_current_state_head_attempt,trade_openness,state_control_over_territory,political_violence,is_conflict
0,13840,2019,Burkina Faso,1,1,4,73,9156789203.1,-3.23338933983321,4.69,8.75,8.32073300790914,2.60603750918948,16.11809565095832,0.463,0.447,8.480603270691908,5.11,18.374855,2111.441,0.0,5.6725258,75.286,0.905,1
3,411,1998,Lesotho,2,1,4,78,688207826.7,7.5,37.16,13.878,4.62753146037008,2.85192846653195,15.424948470398375,0.29,0.609,5.965382344484432,3.93,0.0,204.643,0.0,100.0,79.909,0.815,1
4,412,1998,Serbia,1,2,3,379,10897975637.2,30.1596997992844,13.6999998092651,13.13,0.179428334030044,3.51189797884574,15.60727002719233,0.183,0.885,8.60697667257225,0.0,100.0,870.175,0.0,4.227911799999999,90.6,0.422,1
5,412,1999,Serbia,1,2,4,1349,10978472128.8,42.4539054642972,13.6999998092651,13.5,0.289293595994499,4.00594743451673,13.815510557964274,0.182,0.885,8.560046912581404,0.0,100.0,822.769,0.0,2.6057568,88.0,0.422,1
6,13886,2016,Jordan,1,1,3,34,27110465347.6,-0.778430463054117,15.2799997329712,3.169,1.12311442695397,4.51419331656486,19.262247929630583,0.197,0.516,8.91886685440479,2.95,99.958824,965.324,0.0,8.871982,97.364,0.521,1
9,13902,2015,Turkiye,1,1,3,26,400057787893.1,7.6708536484588,10.2399997711182,5.125,0.256870594628335,1.81284829274449,19.89772946834072,0.6,0.58,10.164273649274849,2.1,100.0,7965.0,0.0,5.1,0.0,0.0,1
10,11342,2012,India,1,1,3,23,392576050359.7,9.47899691419793,3.22000002861023,7.118,4.03195571930265,2.61816761903533,22.20305054115364,0.537,0.543,13.392455680432983,2.44,79.9,130793.978,0.0,5.5793728,89.382,0.056,0
11,11342,2014,India,1,1,3,23,457507409077.4,6.665656718679,5.44,6.79,2.80733345009223,2.54398250277129,21.9313302591756,0.499,0.54,13.50940763600153,2.33,83.8725,133496.74,0.0,4.8922188,88.562,0.8,0
12,11344,2011,Sudan,1,1,3,145,21460776765.5,18.0966171221351,17.4400005340576,7.541,24.8417981166866,5.45,18.968802152462054,0.071,0.749,9.583376361088797,4.82,39.820805,3814.522,0.0,3.1578255,66.417,0.514,1
13,11345,2016,South Sudan,2,1,3,734,208740000.0,379.999585624026,12.2,11.01,0.0,4.60153148570379,15.89495209964411,0.05,0.907,10.091094036136802,4.86,5.1173677,1139.966,0.0,100.0,55.95,1.574,1
14,11345,2017,South Sudan,2,1,3,478,208740000.0,187.851630279442,12.2,11.01,0.0,2.35453775832203,0.0,0.059,0.846,10.108351770153124,4.78,4.2,1149.446,0.0,100.0,64.0,1.574,1
15,11345,2018,South Sudan,2,1,3,497,208740000.0,83.5015294921999,12.2,10.584,0.0,3.64989257499063,0.0,0.05,0.879,10.12219238730732,4.7,6.1731696,1158.459,0.0,100.0,74.214,1.574,1
